月份,地市,小区ECI,基站ID,小区CI,场景,大数据平台场景,厂家,是否为高负荷待扩容小区,有效栅格数,存在重叠的小区ECI,重叠栅格数,栅格重叠百分比
2018/4/1,XINXIANG,33424641,130565,1,大网,低层居民区,华为,是,144,12356097,85,59.03
2018/4/1,XINXIANG,67279492,262810,132,大网,高层居民区,华为,是,625,60838912,169,27.04
2018/4/1,XINXIANG,12330752,48167,0,大网,低层居民区,华为,是,168,69093762,66,39.29
2018/4/1,XINXIANG,193362562,755322,130,大网,低层居民区,华为,是,436,12352769,88,20.18
2018/4/1,XINXIANG,63883264,249544,0,大网,低层居民区,华为,是,222,63962368,60,27.03
2018/4/1,XINXIANG,67239040,262652,128,大网,低层居民区,华为,是,440,63844098,184,41.82
2018/4/1,XINXIANG,235233924,918882,132,大网,低层居民区,华为,是,454,235233923,138,30.4
2018/4/1,XINXIANG,60873218,237786,2,大网,低层居民区,华为,是,343,11984391,79,23.03
2018/4/1,XINXIANG,67204481,262517,129,大网,低层居民区,华为,是,332,70906242,80,24.1
2018/4/1,XINXIANG,235233924,918882,132,大网,低层居民区,华为,是,454,235233921,217,47.8
2018/4/1,XINXIANG,11982337,46806,1,大网,低层居民区,华为,是,536,67185024,108,20.15
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,60824578,45,42.06
2018/4/1,XINXIANG,12330752,48167,0,大网,低层居民区,华为,是,168,235232387,55,32.74
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,60824580,25,23.36
2018/4/1,XINXIANG,12332290,48173,2,大网,低层居民区,华为,是,106,12332289,27,25.47
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,63903232,32,29.91
2018/4/1,XINXIANG,67279492,262810,132,大网,高层居民区,华为,是,625,60831748,131,20.96
2018/4/1,XINXIANG,11929345,46599,1,大网,高层居民区,华为,是,92,67209344,41,44.57
2018/4/1,XINXIANG,60873218,237786,2,大网,低层居民区,华为,是,343,193510273,96,27.99
2018/4/1,XINXIANG,235166848,918620,128,大网,低层居民区,华为,是,241,63871744,67,27.8
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,63866368,39,24.84
2018/4/1,XINXIANG,63841024,249379,0,大网,低层居民区,华为,是,362,1255041,137,37.85
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,70875283,29,27.1
2018/4/1,XINXIANG,12330752,48167,0,大网,低层居民区,华为,是,168,67296130,57,33.93
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,12344839,34,31.78
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,70875280,22,20.56
2018/4/1,XINXIANG,67209346,262536,130,大网,低层居民区,华为,是,226,63890182,68,30.09
2018/4/1,XINXIANG,235160962,918597,130,大网,低层居民区,华为,是,107,235160961,27,25.23
2018/4/1,XINXIANG,60867586,237764,2,大网,低层居民区,华为,是,373,12351745,100,26.81
2018/4/1,XINXIANG,67279492,262810,132,大网,高层居民区,华为,是,625,67294849,134,21.44
2018/4/1,XINXIANG,235233924,918882,132,大网,低层居民区,华为,是,454,67296136,106,23.35
2018/4/1,XINXIANG,193362562,755322,130,大网,低层居民区,华为,是,436,63950336,150,34.4
2018/4/1,XINXIANG,60873218,237786,2,大网,低层居民区,华为,是,343,26879824,114,33.24
2018/4/1,XINXIANG,12332290,48173,2,大网,低层居民区,华为,是,106,64061185,46,43.4
2018/4/1,XINXIANG,12375297,48341,1,大网,低层居民区,华为,是,431,63902209,153,35.5
2018/4/1,XINXIANG,64092928,250363,0,大网,低层居民区,华为,是,235,67246722,70,29.79
2018/4/1,XINXIANG,235166850,918620,130,大网,低层居民区,华为,是,157,70884755,35,22.29
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,26979413,40,37.38
2018/4/1,XINXIANG,193362816,755323,128,大网,低层居民区,华为,是,107,235295616,36,33.64
2018/4/1,XINXIANG,12332290,48173,2,大网,低层居民区,华为,是,106,67227008,29,27.36
2018/4/1,XINXIANG,11982337,46806,1,大网,低层居民区,华为,是,536,67185026,124,23.13
2018/4/1,XINXIANG,12375297,48341,1,大网,低层居民区,华为,是,431,63902210,169,39.21
2018/4/1,XINXIANG,235233924,918882,132,大网,低层居民区,华为,是,454,12375304,217,47.8
