wucha_min_ceil,count,mean,std,min,25%,50%,75%,max
4029,2.0,10045557091.5,68457.12880701323,10045508685.0,10045532888.25,10045557091.5,10045581294.75,10045605498.0
4030,1.0,10043515003.0,,10043515003.0,10043515003.0,10043515003.0,10043515003.0,10043515003.0
4031,2.0,10044516460.0,1415008.3503951486,10043515898.0,10044016179.0,10044516460.0,10045016741.0,10045517022.0
4032,1.0,10045343204.0,,10045343204.0,10045343204.0,10045343204.0,10045343204.0,10045343204.0
4033,1.0,10045525171.0,,10045525171.0,10045525171.0,10045525171.0,10045525171.0,10045525171.0
4034,2.0,10043115861.5,578177.8804524607,10042707028.0,10042911444.75,10043115861.5,10043320278.25,10043524695.0
4035,1.0,10043515008.0,,10043515008.0,10043515008.0,10043515008.0,10043515008.0,10043515008.0
4038,1.0,10045544619.0,,10045544619.0,10045544619.0,10045544619.0,10045544619.0,10045544619.0
4039,2.0,10044439730.0,1307755.8080383355,10043515007.0,10043977368.5,10044439730.0,10044902091.5,10045364453.0
4043,1.0,10043543517.0,,10043543517.0,10043543517.0,10043543517.0,10043543517.0,10043543517.0
4044,1.0,10043515006.0,,10043515006.0,10043515006.0,10043515006.0,10043515006.0,10043515006.0
4046,1.0,10043551689.0,,10043551689.0,10043551689.0,10043551689.0,10043551689.0,10043551689.0
4047,3.0,10043664608.333334,1656891.684217871,10042707611.0,10042708001.5,10042708392.0,10044143107.0,10045577822.0
4048,1.0,10043515005.0,,10043515005.0,10043515005.0,10043515005.0,10043515005.0,10043515005.0
4053,2.0,10043543108.0,39745.057956933466,10043515004.0,10043529056.0,10043543108.0,10043557160.0,10043571212.0
4055,1.0,10045433337.0,,10045433337.0,10045433337.0,10045433337.0,10045433337.0,10045433337.0
4056,5.0,10044603000.4,1037065.474161492,10043513986.0,10043584019.0,10044675109.0,10045613015.0,10045628873.0
4057,1.0,10043497672.0,,10043497672.0,10043497672.0,10043497672.0,10043497672.0,10043497672.0
4059,1.0,10042708583.0,,10042708583.0,10042708583.0,10042708583.0,10042708583.0,10042708583.0
4060,2.0,10042712565.5,362.74577874869885,10042712309.0,10042712437.25,10042712565.5,10042712693.75,10042712822.0
4062,1.0,10043598952.0,,10043598952.0,10043598952.0,10043598952.0,10043598952.0,10043598952.0
4063,1.0,10043513985.0,,10043513985.0,10043513985.0,10043513985.0,10043513985.0,10043513985.0
4064,8.0,10045431799.0,524.9182249237903,10045431303.0,10045431306.5,10045431802.5,10045432289.5,10045432292.0
4065,3.0,10044910235.0,1132854.2061095063,10043605815.0,10044541630.0,10045477445.0,10045562445.0,10045647445.0
4066,1.0,10043515001.0,,10043515001.0,10043515001.0,10043515001.0,10043515001.0,10043515001.0
4069,1.0,10045663337.0,,10045663337.0,10045663337.0,10045663337.0,10045663337.0,10045663337.0
4071,2.0,10045593899.0,128368.16505660584,10045503129.0,10045548514.0,10045593899.0,10045639284.0,10045684669.0
4072,1.0,10043513983.0,,10043513983.0,10043513983.0,10043513983.0,10043513983.0,10043513983.0
4074,2.0,10044655588.0,1452790.4799275084,10043628310.0,10044141949.0,10044655588.0,10045169227.0,10045682866.0
4077,3.0,10043422539.333334,678403.5738793933,10042702648.0,10043108823.5,10043514999.0,10043782485.0,10044049971.0
4078,3.0,10043017538.333334,536086.6606662895,10042705326.0,10042708032.5,10042710739.0,10043173644.5,10043636550.0
4079,2.0,10045625288.5,126550.19352217522,10045535804.0,10045580546.25,10045625288.5,10045670030.75,10045714773.0
4080,1.0,10045535285.0,,10045535285.0,10045535285.0,10045535285.0,10045535285.0,10045535285.0
4081,2.0,10044684969.0,1654586.0273560877,10043515000.0,10044099984.5,10044684969.0,10045269953.5,10045854938.0
4083,2.0,10045785364.5,97804.88865337969,10045716206.0,10045750785.25,10045785364.5,10045819943.75,10045854523.0
4085,2.0,10045854938.5,38.890872965260115,10045854911.0,10045854924.75,10045854938.5,10045854952.25,10045854966.0
4086,1.0,10043513981.0,,10043513981.0,10043513981.0,10043513981.0,10043513981.0,10043513981.0
4087,1.0,10046598196.0,,10046598196.0,10046598196.0,10046598196.0,10046598196.0,10046598196.0
